id,type,prediction,score,review_id
1,PNN,negative,0.6716152429580688,1
2,PNN,negative,0.8522228002548218,2
3,PNN,negative,0.9866235852241516,3
4,PNN,negative,0.986750066280365,4
5,PNN,negative,0.9870762228965759,5
6,PNN,negative,0.9896138310432434,6
7,PNN,negative,0.9908411502838135,7
8,PNN,negative,0.8884257078170776,8
9,PNN,negative,0.9794054627418518,9
10,PNN,negative,0.9751718640327454,10
11,PNN,negative,0.9802215099334717,11
12,PNN,negative,0.9766649007797241,12
13,PNN,negative,0.986603856086731,13
14,PNN,negative,0.9912529587745667,14
15,PNN,negative,0.9832077026367188,15
16,PNN,negative,0.9689691066741943,16
17,PNN,negative,0.9620927572250366,204
18,PNN,positive,0.9338560700416565,2944
19,PNN,negative,0.983156144618988,17
20,PNN,negative,0.9905608296394348,18
21,PNN,negative,0.9830002784729004,19
22,PNN,positive,0.7605838775634766,20
23,PNN,negative,0.9887972474098206,21
24,PNN,negative,0.9755993485450745,22
25,PNN,negative,0.831831157207489,23
26,PNN,negative,0.9472784399986267,24
27,PNN,negative,0.9889147877693176,25
28,PNN,negative,0.9905632734298706,26
29,PNN,negative,0.9215881824493408,27
30,PNN,negative,0.9849557280540466,28
31,PNN,neutral,0.41721439361572266,29
32,PNN,negative,0.9739933013916016,30
33,PNN,negative,0.989343523979187,31
34,PNN,negative,0.9920269846916199,32
35,PNN,negative,0.9725902080535889,33
36,PNN,negative,0.9701638221740723,424
37,PNN,negative,0.9864691495895386,34
38,PNN,negative,0.9921321272850037,35
39,PNN,negative,0.9806961417198181,36
40,PNN,negative,0.8664173483848572,133
41,PNN,negative,0.9900396466255188,37
42,PNN,negative,0.9451886415481567,38
43,PNN,negative,0.9841257333755493,39
44,PNN,negative,0.9888190627098083,40
45,PNN,negative,0.9897667765617371,41
46,PNN,negative,0.8806901574134827,42
47,PNN,negative,0.9400695562362671,43
48,PNN,negative,0.976445734500885,44
49,PNN,negative,0.9413168430328369,45
50,PNN,negative,0.9932461977005005,46
51,PNN,negative,0.989013671875,47
52,PNN,negative,0.9891323447227478,48
53,PNN,negative,0.9672051668167114,49
54,PNN,negative,0.9912124276161194,50
55,PNN,negative,0.9847286343574524,504
56,PNN,negative,0.9856029748916626,51
57,PNN,negative,0.9927541613578796,52
58,PNN,negative,0.9873369336128235,53
59,PNN,negative,0.9909961223602295,54
60,PNN,negative,0.9916319251060486,55
61,PNN,negative,0.9929569959640503,56
62,PNN,negative,0.9703907370567322,57
63,PNN,negative,0.9887617230415344,58
64,PNN,negative,0.9747763872146606,59
65,PNN,negative,0.9804441928863525,60
66,PNN,negative,0.9677583575248718,61
67,PNN,negative,0.9897768497467041,62
68,PNN,negative,0.9916301369667053,63
69,PNN,negative,0.9813666343688965,64
70,PNN,negative,0.9916813969612122,65
71,PNN,negative,0.9928364157676697,66
72,PNN,negative,0.9650305509567261,243
73,PNN,negative,0.9915122389793396,67
74,PNN,negative,0.9897361993789673,68
75,PNN,negative,0.9684507250785828,69
76,PNN,negative,0.9866848587989807,70
77,PNN,negative,0.9522266387939453,71
78,PNN,negative,0.950715959072113,228
79,PNN,negative,0.9847186207771301,72
80,PNN,negative,0.9874632358551025,73
81,PNN,negative,0.9754329323768616,74
82,PNN,negative,0.9877727627754211,75
83,PNN,negative,0.987969160079956,76
84,PNN,positive,0.9868782162666321,77
85,PNN,positive,0.6459769010543823,78
86,PNN,negative,0.9840164184570312,79
87,PNN,negative,0.9813029170036316,80
88,PNN,positive,0.8646418452262878,81
89,PNN,positive,0.9325425028800964,82
90,PNN,negative,0.9703531861305237,571
91,PNN,negative,0.9899187088012695,83
92,PNN,negative,0.9635416269302368,84
93,PNN,negative,0.9867722392082214,85
94,PNN,negative,0.9887233972549438,86
95,PNN,negative,0.9882274270057678,87
96,PNN,negative,0.9863379597663879,88
97,PNN,negative,0.9661831855773926,89
98,PNN,negative,0.9277584552764893,1639
99,PNN,negative,0.991793692111969,90
100,PNN,negative,0.9918053150177002,91
101,PNN,positive,0.9814884662628174,92
102,PNN,negative,0.9881040453910828,93
103,PNN,negative,0.9931841492652893,94
104,PNN,negative,0.9885779619216919,95
105,PNN,negative,0.9893569350242615,96
106,PNN,negative,0.9905869364738464,97
107,PNN,negative,0.9888417720794678,205
108,PNN,negative,0.9933897256851196,98
109,PNN,negative,0.9859287142753601,99
110,PNN,negative,0.9824137687683105,100
111,PNN,negative,0.9902604222297668,101
112,PNN,negative,0.9932541251182556,102
113,PNN,positive,0.9474462866783142,103
114,PNN,negative,0.9902063012123108,104
115,PNN,positive,0.9836142063140869,105
116,PNN,negative,0.9928982257843018,310
117,PNN,negative,0.9891050457954407,106
118,PNN,negative,0.987352728843689,107
119,PNN,negative,0.9550949931144714,108
120,PNN,positive,0.5718662738800049,109
121,PNN,negative,0.9088842272758484,110
122,PNN,negative,0.8577626943588257,111
123,PNN,negative,0.699577271938324,112
124,PNN,neutral,0.6184361577033997,113
125,PNN,neutral,0.7328410744667053,114
126,PNN,positive,0.9831830263137817,115
127,PNN,positive,0.9883765578269958,116
128,PNN,neutral,0.7962398529052734,117
129,PNN,positive,0.9822196960449219,118
130,PNN,neutral,0.6021443009376526,119
131,PNN,positive,0.9816940426826477,2556
132,PNN,negative,0.9924119114875793,120
133,PNN,neutral,0.5648381114006042,121
134,PNN,negative,0.4879377484321594,122
135,PNN,negative,0.99358069896698,123
136,PNN,negative,0.9920215010643005,124
137,PNN,negative,0.9726203083992004,125
138,PNN,negative,0.9924280047416687,126
139,PNN,negative,0.9770070314407349,127
140,PNN,positive,0.9815576672554016,128
141,PNN,negative,0.830880343914032,129
142,PNN,negative,0.9848241209983826,130
143,PNN,positive,0.9874178171157837,131
144,PNN,negative,0.9916627407073975,132
145,PNN,negative,0.9863821268081665,134
146,PNN,negative,0.9506751298904419,135
147,PNN,negative,0.9909013509750366,136
148,PNN,negative,0.9886037111282349,137
149,PNN,negative,0.9917056560516357,138
150,PNN,negative,0.9425699710845947,206
151,PNN,negative,0.9917798638343811,139
152,PNN,negative,0.9928292632102966,140
